Date,Price,Open,High,Low,Change
10/22/2015,64.86,65.133,65.173,64.853,-0.0044
10/23/2015,64.892,64.869,65.06,64.7,0.0005
10/24/2015,64.892,64.869,65.06,64.7,0.0005
10/25/2015,64.892,64.869,65.06,64.7,0.0005
10/26/2015,64.921,64.964,65.025,64.788,0.0004
10/27/2015,65.112,64.921,65.117,64.885,0.0029
10/28/2015,64.954,65.112,65.12,64.833,-0.0024
10/29/2015,65.449,65.154,65.47,65.12,0.0076
10/30/2015,65.423,65.444,65.453,65.12,-0.0004
10/31/2015,65.423,65.444,65.453,65.12,-0.0004
11/1/2015,65.423,65.444,65.453,65.12,-0.0004
11/2/2015,65.561,65.413,65.665,65.355,0.0021
11/3/2015,65.569,65.568,65.795,65.42,0.0001
11/4/2015,65.609,65.592,65.63,65.33,0.0006
11/5/2015,65.86,65.609,65.9,65.523,0.0038
11/6/2015,66.14,65.817,66.14,65.733,0.0043
11/7/2015,66.14,65.817,66.14,65.733,0.0043
11/8/2015,66.14,65.817,66.14,65.733,0.0043
11/9/2015,66.475,66.42,66.5,66.317,0.0051
11/10/2015,66.2,66.44,66.49,66.2,-0.0041
11/11/2015,66.07,66.07,66.07,66.07,-0.002
11/12/2015,66.055,66.135,66.165,66.01,-0.0002
11/13/2015,66.059,66.19,66.24,66.059,0.0001
11/14/2015,66.059,66.19,66.24,66.059,0.0001
11/15/2015,66.059,66.19,66.24,66.059,0.0001
11/16/2015,65.886,66.079,66.26,65.853,-0.0026
11/17/2015,65.981,65.905,66.095,65.885,0.0014
11/18/2015,66.033,66.008,66.325,65.985,0.0008
11/19/2015,66.09,66.057,66.24,66.032,0.0009
11/20/2015,66.058,66.088,66.28,66.044,-0.0005
11/21/2015,66.058,66.088,66.28,66.044,-0.0005
11/22/2015,66.058,66.088,66.28,66.044,-0.0005
11/23/2015,66.395,66.095,66.485,66.057,0.0051
11/24/2015,66.262,66.398,66.505,66.26,-0.002
11/25/2015,66.368,66.261,66.399,66.261,0.0016
11/26/2015,66.565,66.371,66.675,66.347,0.003
11/27/2015,66.907,66.66,66.91,66.65,0.0051
11/28/2015,66.907,66.66,66.91,66.65,0.0051
11/29/2015,66.907,66.66,66.91,66.65,0.0051
11/30/2015,66.462,66.835,66.945,66.422,-0.0067
12/1/2015,66.434,66.462,66.61,66.385,-0.0004
12/2/2015,66.591,66.433,66.68,66.432,0.0024
12/3/2015,66.79,66.598,66.898,66.561,0.003
12/4/2015,66.643,66.79,66.995,66.642,-0.0022
12/5/2015,66.643,66.79,66.995,66.642,-0.0022
12/6/2015,66.643,66.79,66.995,66.642,-0.0022
12/7/2015,66.773,66.643,66.867,66.57,0.002
12/8/2015,66.857,66.777,66.895,66.71,0.0013
12/9/2015,66.855,66.862,66.96,66.725,0
12/10/2015,66.756,66.855,66.935,66.681,-0.0015
12/11/2015,67.148,66.761,67.148,66.743,0.0059
12/12/2015,67.148,66.761,67.148,66.743,0.0059
